epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.946242,0.6416,0.906302,0.6825,1.0e-03,0.9
2,0.873689,0.6893,0.856471,0.6752,1.0e-03,0.7
3,0.821055,0.7207,0.820609,0.7140,9.9e-04,0.7
4,0.780100,0.7455,0.796659,0.7176,9.8e-04,0.7
5,0.746040,0.7639,0.778642,0.7326,9.8e-04,0.7
6,0.717387,0.7789,0.763891,0.7363,9.7e-04,0.7
7,0.692745,0.7901,0.747651,0.7653,9.5e-04,0.7
8,0.671014,0.7996,0.746663,0.7790,9.4e-04,0.7
9,0.651632,0.8071,0.735443,0.7794,9.2e-04,0.7
10,0.634683,0.8135,0.721735,0.7848,9.1e-04,0.7
11,0.618815,0.8204,0.719148,0.7771,8.9e-04,0.7
12,0.604596,0.8255,0.718768,0.7869,8.7e-04,0.7
13,0.591805,0.8302,0.712657,0.7865,8.4e-04,0.7
14,0.579210,0.8348,0.718391,0.7926,8.2e-04,0.7
15,0.568262,0.8385,0.712618,0.7818,8.0e-04,0.7
16,0.557663,0.8420,0.705918,0.7826,7.7e-04,0.7
17,0.548638,0.8447,0.714839,0.7954,7.4e-04,0.7
18,0.538849,0.8484,0.717897,0.7929,7.2e-04,0.7
19,0.530572,0.8517,0.725040,0.7934,6.9e-04,0.7
20,0.522608,0.8538,0.723631,0.7913,6.6e-04,0.7
21,0.515419,0.8562,0.720226,0.7908,6.3e-04,0.7
22,0.508371,0.8577,0.717265,0.7825,6.0e-04,0.7
23,0.501668,0.8597,0.718821,0.7778,5.7e-04,0.7
24,0.495974,0.8619,0.733629,0.7870,5.4e-04,0.7
25,0.490280,0.8634,0.727617,0.7645,5.0e-04,0.7
26,0.485011,0.8649,0.737727,0.7949,4.7e-04,0.7
